1077001  Jack    87  70  71  92  91
1077002  Jo      67  77  75  92  71
1077003  Akira   37  60  71  52  36
1077004  Kouichi 79  61  82  70  71
1077005  Georgia 77  60  75  55  39
1077006  Linus   88  66  75  45  39
1077007  Lucy    43  79  64  18  39
1077008  Boss    45  46  75  98  79
1077009  Mary    99  96  95  99  96
1077010  Makoto  40  25  37  27  17
1077011  Hiroshi 70  95  96  68  65
1077012  Max     34  58  52  45  48
1077013  Show    99  69  77  60  75
1077014  Kohei   81  45  46  75  98
1077015  Yasu    29  37  40  20  15
1077016  Kazu    95  97  90  95  98
